Team Name,p1,p2,p3,p4
Tree New Bee,Latecat,cflz,Rice6689
4Blub,1c2c3,CityPluto,Ballos,Remydsz
Team Matthew,matttang27,wlgjscx,我係細細粒,Rocraft
Team Willflame,WillFlame_,GDMem,kannachanowo
Millennium Seminar,tthegood,Morax042,NB的橘子汽水,非酋懒狗
Chiitoi Lovers,ふくたいちょお,Anti_Change,Rinlix,NoobWind
Kan White Dragons,4WhiteDragons,TripWhiteDrags,Mysty_M,Supercobra27
Itsumodo,danielq987,Sakei,ヒルダaa,Fruitcakezz
Team Pinfu,处一一,voxyn,wmzzzz,无常yy
Team Tanyao,{_,凌霄幻,zamell,bartpuup
Team Tsumo,sabres,tarball,zutomayofan7